State_Or_UT,Years,Cause,Male_upto_14_years,Male_15_to_29_years,Male_30_to_44_years,Male_45_to_59_years,Male_above_60_years,Total_Male,Female_upto_14_years,Female_15_to_29_years,Female_30_to_44_years,Female_45_to_59_years,Female_above_60_years,Total_Female,Grand_Total,Age_upto_14_years,Age_15_to_29_years,Age_30_to_44_years,Age_45_to_59_years,Age_above_60_years
WEST BENGAL,2011,Professional/Career Problem,0,6,117,47,0,170,0,7,8,2,0,17,187,0,13,125,49,0
WEST BENGAL,2011,Property Dispute,0,26,105,103,15,249,10,41,41,39,25,156,405,10,67,146,142,40
WEST BENGAL,2011,Unemployment,0,139,252,38,0,429,0,27,31,19,0,77,506,0,166,283,57,0
WEST BENGAL,2011,Causes Not known,158,833,1108,642,363,3104,98,511,617,390,182,1798,4902,256,1344,1725,1032,545
WEST BENGAL,2011,Other Causes,83,324,634,338,136,1515,80,335,204,131,89,839,2354,163,659,838,469,225
WEST BENGAL,2011,Total,284,2521,3792,2296,731,9624,258,2713,2326,1161,410,6868,16492,542,5234,6118,3457,1141
WEST BENGAL,2011,Total Illness,0,143,341,461,104,1049,8,162,337,210,59,776,1825,8,305,678,671,163
WEST BENGAL,2012,Bankruptcy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Suspected/Illicit Relation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Cancellation/Non-Settlement of Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Illness (Aids/STD),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Paralysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Insanity/Mental Illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Other Prolonged Illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Death of Dear Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Dowry Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Drug Abuse/Addiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Failure in Examination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Fall in Social Reputation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Family Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Ideological Causes/Hero Worshipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Illegitimate Pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Love Affairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,"Physical Abuse (Rape,Incest Etc.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Poverty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Professional/Career Problem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Property Dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Unemployment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Causes Not known,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Other Causes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST BENGAL,2012,Total Illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (STATES),2001,Bankruptcy,1,364,1016,815,197,2393,5,112,197,139,35,488,2881,6,476,1213,954,232
TOTAL (STATES),2001,Suspected/Illicit Relation,6,229,216,74,10,535,12,389,241,15,0,657,1192,18,618,457,89,10
TOTAL (STATES),2001,Cancellation/Non-Settlement of Marriage,1,252,117,14,2,386,9,395,110,6,0,520,906,10,647,227,20,2
TOTAL (STATES),2001,Infertility,0,46,83,25,9,163,1,258,241,93,3,596,759,1,304,324,118,12
TOTAL (STATES),2001,Illness (Aids/STD),1,165,135,133,20,454,5,138,97,29,13,282,736,6,303,232,162,33
TOTAL (STATES),2001,Cancer,0,55,162,211,108,536,1,28,69,98,40,236,772,1,83,231,309,148
TOTAL (STATES),2001,Paralysis,2,61,107,200,141,511,2,46,50,101,55,254,765,4,107,157,301,196
TOTAL (STATES),2001,Insanity/Mental Illness,41,941,1324,917,433,3656,43,672,699,463,277,2154,5810,84,1613,2023,1380,710
TOTAL (STATES),2001,Other Prolonged Illness,107,2285,3228,2954,1490,10064,121,1872,1709,1224,667,5593,15657,228,4157,4937,4178,2157
TOTAL (STATES),2001,Death of Dear Person,6,104,144,106,74,434,13,174,132,69,33,421,855,19,278,276,175,107
TOTAL (STATES),2001,Dowry Dispute,0,25,16,2,0,43,1,1758,554,23,0,2336,2379,1,1783,570,25,0
TOTAL (STATES),2001,Divorce,0,26,56,28,11,121,0,104,66,22,2,194,315,0,130,122,50,13
TOTAL (STATES),2001,Drug Abuse/Addiction,13,337,578,329,63,1320,6,32,18,16,4,76,1396,19,369,596,345,67
TOTAL (STATES),2001,Failure in Examination,221,873,59,8,0,1161,161,670,34,3,0,868,2029,382,1543,93,11,0
TOTAL (STATES),2001,Fall in Social Reputation,11,229,251,194,82,767,8,185,153,50,34,430,1197,19,414,404,244,116
TOTAL (STATES),2001,Family Problems,165,4311,5175,2997,915,13563,179,4471,3529,1372,451,10002,23565,344,8782,8704,4369,1366
TOTAL (STATES),2001,Ideological Causes/Hero Worshipping,1,18,15,19,1,54,0,33,9,6,0,48,102,1,51,24,25,1
TOTAL (STATES),2001,Illegitimate Pregnancy,0,21,9,0,0,30,5,240,83,7,0,335,365,5,261,92,7,0
TOTAL (STATES),2001,Love Affairs,26,1109,399,43,1,1578,69,1122,273,27,0,1491,3069,95,2231,672,70,1
TOTAL (STATES),2001,"Physical Abuse (Rape,Incest Etc.)",1,43,34,23,8,109,10,169,69,11,4,263,372,11,212,103,34,12
TOTAL (STATES),2001,Poverty,16,427,739,434,148,1764,15,227,266,173,40,721,2485,31,654,1005,607,188
TOTAL (STATES),2001,Professional/Career Problem,2,205,312,172,56,747,0,40,34,24,3,101,848,2,245,346,196,59
TOTAL (STATES),2001,Property Dispute,11,267,415,365,134,1192,1,107,152,82,56,398,1590,12,374,567,447,190
TOTAL (STATES),2001,Unemployment,8,955,930,333,31,2257,4,189,141,64,20,418,2675,12,1144,1071,397,51
TOTAL (STATES),2001,Causes Not known,479,3783,4669,2705,1065,12701,433,3041,2273,1131,477,7355,20056,912,6824,6942,3836,1542
TOTAL (STATES),2001,Other Causes,360,2394,2885,2078,842,8559,368,1993,1514,862,403,5140,13699,728,4387,4399,2940,1245
TOTAL (STATES),2001,Total,1479,19525,23074,15179,5841,65098,1472,18465,12713,6110,2617,41377,106475,2951,37990,35787,21289,8458
TOTAL (STATES),2001,Total Illness,151,3507,4956,4415,2192,15221,172,2756,2624,1915,1052,8519,23740,323,6263,7580,6330,3244
TOTAL (STATES),2002,Bankruptcy,7,369,927,709,253,2265,9,93,149,79,24,354,2619,16,462,1076,788,277
TOTAL (STATES),2002,Suspected/Illicit Relation,3,248,215,92,2,560,2,443,287,48,10,790,1350,5,691,502,140,12
TOTAL (STATES),2002,Cancellation/Non-Settlement of Marriage,0,255,114,21,0,390,0,398,134,26,0,558,948,0,653,248,47,0
TOTAL (STATES),2002,Infertility,0,56,96,60,9,221,3,237,234,64,0,538,759,3,293,330,124,9
TOTAL (STATES),2002,Illness (Aids/STD),6,103,195,94,47,445,5,89,104,21,23,242,687,11,192,299,115,70
TOTAL (STATES),2002,Cancer,1,52,170,225,133,581,4,39,101,118,44,306,887,5,91,271,343,177
TOTAL (STATES),2002,Paralysis,0,63,108,133,137,441,0,49,37,83,35,204,645,0,112,145,216,172
TOTAL (STATES),2002,Insanity/Mental Illness,38,1127,1500,969,459,4093,44,703,787,479,237,2250,6343,82,1830,2287,1448,696
TOTAL (STATES),2002,Other Prolonged Illness,77,2381,3723,3230,1783,11194,144,1957,1786,1240,699,5826,17020,221,4338,5509,4470,2482
TOTAL (STATES),2002,Death of Dear Person,5,105,136,89,48,383,6,124,88,57,28,303,686,11,229,224,146,76
TOTAL (STATES),2002,Dowry Dispute,0,16,10,4,0,30,116,1678,493,38,3,2328,2358,116,1694,503,42,3
TOTAL (STATES),2002,Divorce,0,29,37,14,5,85,0,130,103,26,1,260,345,0,159,140,40,6
TOTAL (STATES),2002,Drug Abuse/Addiction,5,385,713,398,74,1575,8,40,29,21,11,109,1684,13,425,742,419,85
TOTAL (STATES),2002,Failure in Examination,174,1001,68,3,0,1246,169,737,50,2,0,958,2204,343,1738,118,5,0
TOTAL (STATES),2002,Fall in Social Reputation,20,149,232,145,38,584,3,116,103,37,15,274,858,23,265,335,182,53
TOTAL (STATES),2002,Family Problems,183,4378,5499,3177,1091,14328,243,4653,3351,1407,456,10110,24438,426,9031,8850,4584,1547
TOTAL (STATES),2002,Ideological Causes/Hero Worshipping,0,19,10,13,9,51,0,14,11,7,4,36,87,0,33,21,20,13
TOTAL (STATES),2002,Illegitimate Pregnancy,0,7,0,1,0,8,9,163,77,5,0,254,262,9,170,77,6,0
TOTAL (STATES),2002,Love Affairs,5,1105,442,35,2,1589,58,1049,321,21,0,1449,3038,63,2154,763,56,2
TOTAL (STATES),2002,"Physical Abuse (Rape,Incest Etc.)",0,76,63,30,6,175,18,135,72,19,6,250,425,18,211,135,49,12
TOTAL (STATES),2002,Poverty,14,450,703,540,133,1840,9,202,212,118,40,581,2421,23,652,915,658,173
TOTAL (STATES),2002,Professional/Career Problem,0,219,322,174,30,745,3,108,75,24,6,216,961,3,327,397,198,36
TOTAL (STATES),2002,Property Dispute,7,186,355,349,65,962,0,82,105,69,31,287,1249,7,268,460,418,96
TOTAL (STATES),2002,Unemployment,4,859,827,239,19,1948,2,135,97,34,0,268,2216,6,994,924,273,19
TOTAL (STATES),2002,Causes Not known,383,4025,4451,2849,1158,12866,356,2537,2020,1081,467,6461,19327,739,6562,6471,3930,1625
TOTAL (STATES),2002,Other Causes,350,2792,3447,2126,768,9483,341,2082,1683,723,370,5199,14682,691,4874,5130,2849,1138
TOTAL (STATES),2002,Total,1282,20455,24363,15719,6269,68088,1552,17993,12509,5847,2510,40411,108499,2834,38448,36872,21566,8779
TOTAL (STATES),2002,Total Illness,122,3726,5696,4651,2559,16754,197,2837,2815,1941,1038,8828,25582,319,6563,8511,6592,3597
TOTAL (STATES),2003,Bankruptcy,13,432,1039,769,234,2487,8,92,142,76,30,348,2835,21,524,1181,845,264
TOTAL (STATES),2003,Suspected/Illicit Relation,5,239,229,98,8,579,4,401,266,34,1,706,1285,9,640,495,132,9
TOTAL (STATES),2003,Cancellation/Non-Settlement of Marriage,3,225,148,35,2,413,4,353,120,16,2,495,908,7,578,268,51,4
TOTAL (STATES),2003,Infertility,0,46,110,42,6,204,4,191,232,94,1,522,726,4,237,342,136,7
TOTAL (STATES),2003,Illness (Aids/STD),7,144,217,94,40,502,9,124,84,31,18,266,768,16,268,301,125,58
TOTAL (STATES),2003,Cancer,1,49,149,121,77,397,7,43,89,79,27,245,642,8,92,238,200,104
TOTAL (STATES),2003,Paralysis,7,50,85,102,86,330,7,47,41,58,31,184,514,14,97,126,160,117
TOTAL (STATES),2003,Insanity/Mental Illness,42,1235,1718,1127,539,4661,58,787,863,594,277,2579,7240,100,2022,2581,1721,816
TOTAL (STATES),2003,Other Prolonged Illness,95,2213,3049,2832,1663,9852,110,1720,1784,1161,728,5503,15355,205,3933,4833,3993,2391
TOTAL (STATES),2003,Death of Dear Person,6,181,175,153,55,570,11,193,134,59,27,424,994,17,374,309,212,82
TOTAL (STATES),2003,Dowry Dispute,4,14,47,33,1,99,10,1700,550,40,2,2302,2401,14,1714,597,73,3
TOTAL (STATES),2003,Divorce,0,12,63,18,0,93,0,80,107,22,1,210,303,0,92,170,40,1
TOTAL (STATES),2003,Drug Abuse/Addiction,4,358,716,446,121,1645,2,45,29,15,5,96,1741,6,403,745,461,126
TOTAL (STATES),2003,Failure in Examination,147,921,90,0,0,1158,158,846,43,1,0,1048,2206,305,1767,133,1,0
TOTAL (STATES),2003,Fall in Social Reputation,7,147,244,139,40,577,17,138,98,56,9,318,895,24,285,342,195,49
TOTAL (STATES),2003,Family Problems,178,4726,5715,3588,1151,15358,190,4478,3376,1668,592,10304,25662,368,9204,9091,5256,1743
TOTAL (STATES),2003,Ideological Causes/Hero Worshipping,0,58,71,40,8,177,2,41,12,9,1,65,242,2,99,83,49,9
TOTAL (STATES),2003,Illegitimate Pregnancy,0,0,2,0,1,3,1,171,62,11,0,245,248,1,171,64,11,1
TOTAL (STATES),2003,Love Affairs,28,1438,575,61,1,2103,58,1329,421,34,0,1842,3945,86,2767,996,95,1
TOTAL (STATES),2003,"Physical Abuse (Rape,Incest Etc.)",6,64,92,41,23,226,14,147,74,28,10,273,499,20,211,166,69,33
TOTAL (STATES),2003,Poverty,16,474,773,551,147,1961,16,212,250,133,70,681,2642,32,686,1023,684,217
TOTAL (STATES),2003,Professional/Career Problem,1,222,423,191,30,867,0,58,57,23,3,141,1008,1,280,480,214,33
TOTAL (STATES),2003,Property Dispute,1,268,446,325,97,1137,1,100,141,105,27,374,1511,2,368,587,430,124
TOTAL (STATES),2003,Unemployment,0,888,845,299,39,2071,4,199,140,62,4,409,2480,4,1087,985,361,43
TOTAL (STATES),2003,Causes Not known,355,3770,3932,2420,1017,11494,319,2285,1704,1010,410,5728,17222,674,6055,5636,3430,1427
TOTAL (STATES),2003,Other Causes,326,3013,3236,2374,992,9941,260,1930,1350,729,340,4609,14550,586,4943,4586,3103,1332
TOTAL (STATES),2003,Total,1252,21187,24189,15899,6378,68905,1274,17710,12169,6148,2616,39917,108822,2526,38897,36358,22047,8994
TOTAL (STATES),2003,Total Illness,152,3691,5218,4276,2405,15742,191,2721,2861,1923,1081,8777,24519,343,6412,8079,6199,3486
TOTAL (STATES),2004,Bankruptcy,11,432,1152,893,200,2688,8,96,140,90,22,356,3044,19,528,1292,983,222
TOTAL (STATES),2004,Suspected/Illicit Relation,2,285,209,50,3,549,6,399,212,39,1,657,1206,8,684,421,89,4
TOTAL (STATES),2004,Cancellation/Non-Settlement of Marriage,2,193,103,18,1,317,1,338,84,4,0,427,744,3,531,187,22,1
TOTAL (STATES),2004,Infertility,1,49,95,51,6,202,1,198,235,51,2,487,689,2,247,330,102,8
TOTAL (STATES),2004,Illness (Aids/STD),3,129,212,75,34,453,7,93,80,24,10,214,667,10,222,292,99,44
TOTAL (STATES),2004,Cancer,0,53,178,195,135,561,0,28,70,107,52,257,818,0,81,248,302,187
TOTAL (STATES),2004,Paralysis,4,30,68,117,104,323,2,50,51,41,36,180,503,6,80,119,158,140
TOTAL (STATES),2004,Insanity/Mental Illness,66,1231,1568,1190,547,4602,55,791,817,535,230,2428,7030,121,2022,2385,1725,777
TOTAL (STATES),2004,Other Prolonged Illness,86,2333,3342,2869,1763,10393,118,1841,1703,1244,738,5644,16037,204,4174,5045,4113,2501
TOTAL (STATES),2004,Death of Dear Person,7,125,134,103,64,433,10,109,93,56,31,299,732,17,234,227,159,95
TOTAL (STATES),2004,Dowry Dispute,0,27,17,7,2,53,10,1962,527,32,0,2531,2584,10,1989,544,39,2
TOTAL (STATES),2004,Divorce,0,34,61,26,2,123,0,119,98,14,0,231,354,0,153,159,40,2
TOTAL (STATES),2004,Drug Abuse/Addiction,7,441,821,454,95,1818,0,36,32,11,1,80,1898,7,477,853,465,96
TOTAL (STATES),2004,Failure in Examination,219,1028,136,17,2,1402,226,752,51,3,0,1032,2434,445,1780,187,20,2
TOTAL (STATES),2004,Fall in Social Reputation,4,173,171,104,39,491,5,91,67,32,5,200,691,9,264,238,136,44
TOTAL (STATES),2004,Family Problems,191,4340,5804,3605,1043,14983,192,4555,3319,1455,471,9992,24975,383,8895,9123,5060,1514
TOTAL (STATES),2004,Ideological Causes/Hero Worshipping,1,12,22,7,6,48,2,19,8,0,1,30,78,3,31,30,7,7
TOTAL (STATES),2004,Illegitimate Pregnancy,0,5,4,2,0,11,6,121,61,5,0,193,204,6,126,65,7,0
TOTAL (STATES),2004,Love Affairs,22,1380,540,54,2,1998,57,1226,443,31,0,1757,3755,79,2606,983,85,2
TOTAL (STATES),2004,"Physical Abuse (Rape,Incest Etc.)",0,41,39,11,10,101,1,111,70,17,4,203,304,1,152,109,28,14
TOTAL (STATES),2004,Poverty,8,556,958,759,214,2495,14,223,314,223,77,851,3346,22,779,1272,982,291
TOTAL (STATES),2004,Professional/Career Problem,0,255,364,224,38,881,1,45,57,31,3,137,1018,1,300,421,255,41
TOTAL (STATES),2004,Property Dispute,14,271,488,336,117,1226,0,142,163,125,30,460,1686,14,413,651,461,147
TOTAL (STATES),2004,Unemployment,1,954,831,299,25,2110,0,164,190,61,2,417,2527,1,1118,1021,360,27
TOTAL (STATES),2004,Causes Not known,336,3731,4393,2909,1156,12525,312,2432,1832,893,384,5853,18378,648,6163,6225,3802,1540
TOTAL (STATES),2004,Other Causes,462,3020,3667,2442,979,10570,390,2136,1527,900,428,5381,15951,852,5156,5194,3342,1407
TOTAL (STATES),2004,Total,1447,21128,25377,16817,6587,71356,1424,18077,12244,6024,2528,40297,111653,2871,39205,37621,22841,9115
TOTAL (STATES),2004,Total Illness,159,3776,5368,4446,2583,16332,182,2803,2721,1951,1066,8723,25055,341,6579,8089,6397,3649
TOTAL (STATES),2005,Bankruptcy,7,458,1081,920,206,2672,6,119,159,95,25,404,3076,13,577,1240,1015,231
TOTAL (STATES),2005,Suspected/Illicit Relation,7,253,209,81,11,561,24,369,223,39,1,656,1217,31,622,432,120,12
TOTAL (STATES),2005,Cancellation/Non-Settlement of Marriage,4,255,130,37,5,431,2,374,120,8,0,504,935,6,629,250,45,5
TOTAL (STATES),2005,Infertility,6,52,114,47,4,223,4,206,246,91,3,550,773,10,258,360,138,7
TOTAL (STATES),2005,Illness (Aids/STD),7,133,324,157,72,693,13,187,118,50,34,402,1095,20,320,442,207,106
TOTAL (STATES),2005,Cancer,5,53,126,199,127,510,4,17,42,90,81,234,744,9,70,168,289,208
TOTAL (STATES),2005,Paralysis,11,62,142,187,166,568,8,44,50,70,47,219,787,19,106,192,257,213
TOTAL (STATES),2005,Insanity/Mental Illness,32,1319,1740,1254,554,4899,39,831,826,614,314,2624,7523,71,2150,2566,1868,868
TOTAL (STATES),2005,Other Prolonged Illness,67,2054,2865,2606,1753,9345,96,1703,1518,1134,782,5233,14578,163,3757,4383,3740,2535
TOTAL (STATES),2005,Death of Dear Person,4,102,180,118,59,463,7,92,151,68,19,337,800,11,194,331,186,78
TOTAL (STATES),2005,Dowry Dispute,2,13,24,3,0,42,0,1683,530,38,3,2254,2296,2,1696,554,41,3
TOTAL (STATES),2005,Divorce,0,23,39,29,10,101,0,93,111,12,0,216,317,0,116,150,41,10
TOTAL (STATES),2005,Drug Abuse/Addiction,7,451,884,479,104,1925,2,30,27,10,11,80,2005,9,481,911,489,115
TOTAL (STATES),2005,Failure in Examination,182,987,77,14,0,1260,263,670,43,6,2,984,2244,445,1657,120,20,2
TOTAL (STATES),2005,Fall in Social Reputation,8,379,338,219,65,1009,11,259,164,62,29,525,1534,19,638,502,281,94
TOTAL (STATES),2005,Family Problems,160,4310,5718,3672,1067,14927,162,4498,3088,1563,544,9855,24782,322,8808,8806,5235,1611
TOTAL (STATES),2005,Ideological Causes/Hero Worshipping,5,29,45,42,20,141,1,39,18,10,5,73,214,6,68,63,52,25
TOTAL (STATES),2005,Illegitimate Pregnancy,1,4,2,0,0,7,3,116,41,4,0,164,171,4,120,43,4,0
TOTAL (STATES),2005,Love Affairs,36,1223,484,43,4,1790,58,1260,313,14,1,1646,3436,94,2483,797,57,5
TOTAL (STATES),2005,"Physical Abuse (Rape,Incest Etc.)",2,25,26,13,1,67,5,94,26,9,1,135,202,7,119,52,22,2
TOTAL (STATES),2005,Poverty,4,413,734,573,200,1924,9,182,223,125,53,592,2516,13,595,957,698,253
TOTAL (STATES),2005,Professional/Career Problem,0,182,310,154,15,661,1,25,29,5,5,65,726,1,207,339,159,20
TOTAL (STATES),2005,Property Dispute,3,198,459,457,91,1208,2,69,152,109,12,344,1552,5,267,611,566,103
TOTAL (STATES),2005,Unemployment,7,729,756,275,24,1791,8,144,133,50,6,341,2132,15,873,889,325,30
TOTAL (STATES),2005,Causes Not known,273,3740,3973,2578,903,11467,216,2399,1652,950,280,5497,16964,489,6139,5625,3528,1183
TOTAL (STATES),2005,Other Causes,471,3857,4700,2812,1059,12899,264,2467,2028,1097,428,6284,19183,735,6324,6728,3909,1487
TOTAL (STATES),2005,Total,1311,21304,25480,16969,6520,71584,1208,17970,12031,6323,2686,40218,111802,2519,39274,37511,23292,9206
TOTAL (STATES),2005,Total Illness,122,3621,5197,4403,2672,16015,160,2782,2554,1958,1258,8712,24727,282,6403,7751,6361,3930
TOTAL (STATES),2006,Bankruptcy,3,440,1168,1013,282,2906,3,112,170,87,27,399,3305,6,552,1338,1100,309
TOTAL (STATES),2006,Suspected/Illicit Relation,3,216,218,60,2,499,11,349,247,22,0,629,1128,14,565,465,82,2
TOTAL (STATES),2006,Cancellation/Non-Settlement of Marriage,0,223,110,8,1,342,0,386,106,10,1,503,845,0,609,216,18,2
TOTAL (STATES),2006,Infertility,0,45,88,45,8,186,0,204,208,42,2,456,642,0,249,296,87,10
TOTAL (STATES),2006,Illness (Aids/STD),1,131,244,82,40,498,11,126,112,28,10,287,785,12,257,356,110,50
TOTAL (STATES),2006,Cancer,0,50,127,199,144,520,2,24,81,78,36,221,741,2,74,208,277,180
TOTAL (STATES),2006,Paralysis,2,41,102,143,89,377,3,33,35,44,42,157,534,5,74,137,187,131
TOTAL (STATES),2006,Insanity/Mental Illness,45,1456,1853,1247,612,5213,69,861,893,571,340,2734,7947,114,2317,2746,1818,952
TOTAL (STATES),2006,Other Prolonged Illness,80,2285,3306,2881,1816,10368,113,2024,1779,1191,745,5852,16220,193,4309,5085,4072,2561
TOTAL (STATES),2006,Death of Dear Person,5,100,184,132,48,469,7,121,120,122,24,394,863,12,221,304,254,72
TOTAL (STATES),2006,Dowry Dispute,0,32,27,1,0,60,1,1658,525,21,1,2206,2266,1,1690,552,22,1
TOTAL (STATES),2006,Divorce,0,29,95,38,6,168,0,106,88,31,0,225,393,0,135,183,69,6
TOTAL (STATES),2006,Drug Abuse/Addiction,3,442,1033,479,113,2070,5,29,32,11,9,86,2156,8,471,1065,490,122
TOTAL (STATES),2006,Failure in Examination,241,1026,48,6,1,1322,266,733,23,3,0,1025,2347,507,1759,71,9,1
TOTAL (STATES),2006,Fall in Social Reputation,6,215,375,212,58,866,11,184,133,96,24,448,1314,17,399,508,308,82
TOTAL (STATES),2006,Family Problems,125,5215,7146,4383,1430,18299,160,5535,3798,1840,549,11882,30181,285,10750,10944,6223,1979
TOTAL (STATES),2006,Ideological Causes/Hero Worshipping,3,56,81,29,11,180,3,58,38,9,1,109,289,6,114,119,38,12
TOTAL (STATES),2006,Illegitimate Pregnancy,0,2,0,0,0,2,10,168,68,8,0,254,256,10,170,68,8,0
TOTAL (STATES),2006,Love Affairs,17,1506,596,36,0,2155,38,1437,347,18,1,1841,3996,55,2943,943,54,1
TOTAL (STATES),2006,"Physical Abuse (Rape,Incest Etc.)",1,23,39,20,3,86,9,130,80,6,4,229,315,10,153,119,26,7
TOTAL (STATES),2006,Poverty,14,369,903,541,145,1972,22,166,239,156,60,643,2615,36,535,1142,697,205
TOTAL (STATES),2006,Professional/Career Problem,0,203,455,233,53,944,0,41,60,30,4,135,1079,0,244,515,263,57
TOTAL (STATES),2006,Property Dispute,1,409,621,529,74,1634,2,108,228,239,19,596,2230,3,517,849,768,93
TOTAL (STATES),2006,Unemployment,1,717,669,204,14,1605,0,114,83,28,0,225,1830,1,831,752,232,14
TOTAL (STATES),2006,Causes Not known,293,3849,3986,2410,829,11367,237,2306,1574,727,276,5120,16487,530,6155,5560,3137,1105
TOTAL (STATES),2006,Other Causes,332,3082,3787,2150,744,10095,256,1960,1614,794,332,4956,15051,588,5042,5401,2944,1076
TOTAL (STATES),2006,Total,1176,22162,27261,17081,6523,74203,1239,18973,12681,6212,2507,41612,115815,2415,41135,39942,23293,9030
TOTAL (STATES),2006,Total Illness,128,3963,5632,4552,2701,16976,198,3068,2900,1912,1173,9251,26227,326,7031,8532,6464,3874
TOTAL (STATES),2007,Bankruptcy,2,432,1168,1047,342,2991,1,89,113,84,11,298,3289,3,521,1281,1131,353
TOTAL (STATES),2007,Suspected/Illicit Relation,11,244,242,81,6,584,9,378,290,30,1,708,1292,20,622,532,111,7
TOTAL (STATES),2007,Cancellation/Non-Settlement of Marriage,0,244,146,11,0,401,3,425,121,9,0,558,959,3,669,267,20,0
TOTAL (STATES),2007,Infertility,0,42,140,41,9,232,0,242,247,66,10,565,797,0,284,387,107,19
TOTAL (STATES),2007,Illness (Aids/STD),3,142,252,123,95,615,7,94,130,79,24,334,949,10,236,382,202,119
TOTAL (STATES),2007,Cancer,1,57,126,200,162,546,0,19,78,93,54,244,790,1,76,204,293,216
TOTAL (STATES),2007,Paralysis,0,27,78,118,104,327,1,25,50,51,42,169,496,1,52,128,169,146
TOTAL (STATES),2007,Insanity/Mental Illness,37,1434,1994,1554,537,5556,59,1006,1012,628,290,2995,8551,96,2440,3006,2182,827
TOTAL (STATES),2007,Other Prolonged Illness,71,2335,3262,3015,1790,10473,111,2003,1693,1190,787,5784,16257,182,4338,4955,4205,2577
TOTAL (STATES),2007,Death of Dear Person,4,92,127,93,38,354,10,143,114,59,26,352,706,14,235,241,152,64
TOTAL (STATES),2007,Dowry Dispute,0,20,14,0,2,36,13,2177,807,43,0,3040,3076,13,2197,821,43,2
TOTAL (STATES),2007,Divorce,0,23,75,30,2,130,0,87,95,22,0,204,334,0,110,170,52,2
TOTAL (STATES),2007,Drug Abuse/Addiction,9,513,1001,569,138,2230,1,31,28,14,5,79,2309,10,544,1029,583,143
TOTAL (STATES),2007,Failure in Examination,175,819,52,4,2,1052,174,654,19,8,0,855,1907,349,1473,71,12,2
TOTAL (STATES),2007,Fall in Social Reputation,5,208,295,137,43,688,1,192,151,49,14,407,1095,6,400,446,186,57
TOTAL (STATES),2007,Family Problems,142,5035,6970,4423,1355,17925,160,4732,3539,1730,494,10655,28580,302,9767,10509,6153,1849
TOTAL (STATES),2007,Ideological Causes/Hero Worshipping,0,45,75,32,9,161,2,57,25,8,1,93,254,2,102,100,40,10
TOTAL (STATES),2007,Illegitimate Pregnancy,0,6,2,5,1,14,3,107,33,1,0,144,158,3,113,35,6,1
TOTAL (STATES),2007,Love Affairs,17,1203,441,42,9,1712,74,1249,258,11,1,1593,3305,91,2452,699,53,10
TOTAL (STATES),2007,"Physical Abuse (Rape,Incest Etc.)",0,41,37,31,3,112,3,115,44,19,3,184,296,3,156,81,50,6
